pos,40yd,benchpress,vertleap,broadjump,shuttle,3cone
DL,-0.00818884109308,0.626642788944,0.318350277743,0.711262750232,-0.000588739435701,-0.00313243129824
DL,0.00434370180499,0.775311175833,-0.162987297287,-0.610008499587,0.00498130163111,0.0131784244705
OL,0.0167638799932,-0.225935082449,-0.259770793767,-0.938480940423,0.0123183454578,0.0171239125386
OL,-0.00258046258018,0.974004344015,-0.0727387627062,-0.214110590106,0.00497293173933,0.0122424101644
LB,0.0122945378275,-0.000985050588412,-0.371294608932,-0.928409231734,0.00307033059675,0.00592105513668
LB,-0.00380835893733,0.997184402262,0.0685759546935,-0.028599091473,-0.00211976329646,-0.00914884122741
CB,-0.00351079980474,-0.102374178344,0.298472051599,0.9488833809,-0.00385114741991,-0.00520907113817
CB,0.00565689295583,-0.994488995001,-0.0491354124389,-0.0917448524232,0.00931362519838,0.00644112323046
FB,0.00810453728456,0.93536018057,-0.131128368621,-0.328081828417,0.0114215116967,0.00853598006346
FB,-0.0103038558799,0.353193797127,0.391063002136,0.849660481207,-0.0150814404956,-0.00820471891286
S,-0.00393204551808,0.163980705796,0.331594410628,0.929032751613,0.00256868561489,-0.00561803078018
S,0.00242655841065,-0.986015232415,0.0831817823824,0.144359334466,0.00275541199308,0.00128631127186
QB,-0.0163424158729,0.110758561275,0.363430958334,0.924651459294,-0.0124065093508,-0.0157848795761
QB,0.000217777574969,0.965804784362,0.180086309508,-0.186364412607,-0.00182400319419,0.00741423831872
WR,-0.00645979854822,0.534670770437,0.376842835685,0.756314066049,-0.00381428280939,-0.00702852598802
WR,0.00186541493196,0.838762191211,-0.127860401333,-0.529239719519,-0.00521065707793,0.00209593152275
RB,-0.0104368730432,0.318614789467,0.326868977329,0.889601831983,-0.00837103715012,-0.00841816744758
RB,0.00184690300509,-0.946661119522,0.0626788020019,0.316055991169,-0.00130748351232,0.00275362443587
DT,-0.0147160482723,0.517322922691,0.375271681154,0.768652716065,-0.0147847578593,-0.0169118279919
DT,0.0068310890257,0.854576669275,-0.180014884295,-0.486475506778,0.00809694210036,0.0228629573905
TE,-0.0199608477564,0.18833682191,0.384177587902,0.903466806891,-0.0084445743688,-0.0146562284852
TE,0.00429745260761,0.982082092116,-0.0725372657187,-0.173810979785,-0.00479510750184,0.00117965156596
